id,datetime,created_at,tweet
1098911825138278400,2019-02-22 11:46:10,22-02-2019 11:46:10,"Vazou a versão que será tocada na cerimônia do #Oscars2019.

A estatueta vem!

https://t.co/zIpGBVnwh1"
1098909479339466752,2019-02-22 11:36:51,22-02-2019 11:36:51,Já ta liberado começar as considerações do #Oscars2019?
1098901819667943425,2019-02-22 11:06:25,22-02-2019 11:06:25,"RT @tangerina_mec: No próximo domingo será a entrega do OSCAR 2019 com a premiação de 22 categorias. Para um melhor entendimento, o Tangeri…"
1098901803297632257,2019-02-22 11:06:21,22-02-2019 11:06:21,"RT @tangerina_mec: SEMANA DO OSCAR 2019 - saiba mais sobre o filme “Nasce uma Estrela” que concorre a melhor filme
#oscar2019 #oscars2019 #…"
1098896970410795011,2019-02-22 10:47:08,22-02-2019 10:47:08,mas com certeza vou assistir a live do choque de cultura #Oscars2019
1098896887388749824,2019-02-22 10:46:49,22-02-2019 10:46:49,Eu nem assisti todos os filmes dos oscar ainda #Oscars2019 https://t.co/wlvcnQgIl7
1098894601782550528,2019-02-22 10:37:44,22-02-2019 10:37:44,"Este domingo, 24 de fevereiro, o @ParqueNascente volta a ser o anfitrião de uma noite memorável dedicada à celebração da 7ª arte, com a presença de celebridades portuguesas e com os filmes nomeados às estatuetas douradas de Hollywood. #Oscars2019 #Cinema https://t.co/7Jmc3X7koh"
1098892516605218816,2019-02-22 10:29:27,22-02-2019 10:29:27,"A música mais forte que nunca no cinema! #news #radiocomercial #Oscars2019 #LadyGaga #BohemianRhapsody 
https://t.co/87fPzfpfrA"
1098891460001390593,2019-02-22 10:25:15,22-02-2019 10:25:15,"RT @rodrigochavesm: Sabe aquele filme sôco no estômago?
Esse é uma surra no corpo todinho...
#cafarnaum #caos #Oscars #Oscars2019 https://t…"
1098891327197061129,2019-02-22 10:24:43,22-02-2019 10:24:43,"Sabe aquele filme sôco no estômago?
Esse é uma surra no corpo todinho...
#cafarnaum #caos #Oscars #Oscars2019 https://t.co/7wLAdCoy1o"
1098885307670372352,2019-02-22 10:00:48,22-02-2019 10:00:48,Será capaz de adivinhar o filme descrito aqui com emotes? Veja as nossas páginas do Instagram e do Facebook para tentar adivinhar mais filmes! #oscars2019 #Owscars https://t.co/8Fb6h2odhI https://t.co/OIYhmpTqpd https://t.co/Xz3ZahkTsj
1098870163582140416,2019-02-22 09:00:37,22-02-2019 09:00:37,Você será capaz de adivinhar o filme descrito aqui com emojis? Confira nossas páginas no Instagram e no Facebook para tentar adivinhar mais filmes! #oscars2019 #Owscars https://t.co/OLiQKSz8Bz  https://t.co/hebFL9uTmn https://t.co/npRuZcEhQX
1098849590030360576,2019-02-22 07:38:52,22-02-2019 07:38:52,"Meu amigo, que atuação foi essa da Olivia Colman em The Favourite?? Cheirinho de Oscar

#Oscars2019"
1098840850367311873,2019-02-22 07:04:08,22-02-2019 07:04:08,Da série: Vantagens de estar em LA na semana do Oscar: Noite mágica na companhia dos diretores e da única diretora (libanesa que dirigiu o maravilhoso Cafarnaum) indicados ao Oscar na categoria filmes estrangeiro. @TheAcademy #Oscarweek #Oscars2019 https://t.co/ZwY3JtPBXo
1098808762243211264,2019-02-22 04:56:38,22-02-2019 04:56:38,Mais uma vez esqueci algumas das animações &lt;/3 #Oscars2019
1098799878665322497,2019-02-22 04:21:20,22-02-2019 04:21:20,"SEMANA DO OSCAR 2019 - saiba mais sobre o filme “Nasce uma Estrela” que concorre a melhor filme
#oscar2019 #oscars2019 #NASCEUMAESTRELA #LadyGaga 
https://t.co/dOSGxduoIP"
1098797476151218178,2019-02-22 04:11:47,22-02-2019 04:11:47,"Por ordem que acho que pode ganhar o Oscar de Melhor Filme: 

Vice
Green Book
Roma
A Favorita
BlacKkKlansman
Bohemian Rhapsody
Pantera Negra
Assim Nasce uma Estrela

Sendo que os últimos 2 não me parece que tenham qualquer hipótese. 

#Oscars2019"
1098796009960951808,2019-02-22 04:05:58,22-02-2019 04:05:58,"Vice✔
Green Book ✔
Bohemian Rhapsody✔
BlacKkKlansman ✔
A Favorita✔
Pantera Negra ✔
Roma✔
Assim Nasce uma Estrela✔

Já vi todos, check por ordem de preferência pessoal. Vice e Green Book estão empatados, não consigo escolher. 😱

#Oscars2019
#Oscars"
